level_1,,none,_1,none_1,_2,none_2,_3,none_3,_4,none_4,_6,none_5,_8,none_6
Money market funds,5272,,—,,—,,5272,,5272,,—,,—,
Mutual funds,679,,177,,-2,,854,,—,,854,,—,
Subtotal,5951,,177,,-2,,6126,,5272,,854,,—,
Level 2 (1):,,,,,,,,,,,,,,
U.S. Treasury securities,16074,,56,,-282,,15848,,1190,,3712,,10946,
U.S. agency securities,5269,,—,,-149,,5120,,251,,2456,,2413,
Non-U.S. government securities,6586,,111,,-424,,6273,,—,,855,,5418,
Certificates of deposit and time deposits,917,,—,,—,,917,,904,,—,,13,
Commercial paper,100,,—,,—,,100,,50,,50,,—,
Corporate debt securities,47210,,266,,-916,,46560,,—,,10623,,35937,
Municipal securities,207,,—,,-2,,205,,—,,119,,86,
Mortgage- and asset-backed securities,24130,,126,,-1252,,23004,,—,,94,,22910,
Subtotal,100493,,559,,-3025,,98027,,2395,,17909,,77723,
Total,$,134711.0,$,736.0,$,-3027.0,$,132420.0,$,35934.0,$,18763.0,$,77723.0
